Основное средство;Инвентарный номер;Подразделение;Дата принятия к учету
Система ультразвуковая диагностическая медицинская LOGIQ, модель Р5 с принадлежностями;КЗН000048;КЗН Отделение лучевой диагностики;17.08.2011
Системный блок Hightech (i5-12400/MSI PRO H610M-G/DDR4 16GB/SSD М.2 256GB/mATX/300W/Wi Fi USB+K/M);БП-001514;КЗН Отделение лучевой диагностики;31.10.2024
Рабочая станция для рентгена на базе USN BUSINESS 505 Intel Dual Core E5200 и гр.карты Nvidia Quadro;КЗН000189;КЗН Отделение лучевой диагностики;07.12.2011
Камера лазерная мультиформатная медицинская DRYPRO МОДЕЛЬ 873  с принадлежностями;КЗН000014;КЗН Отделение лучевой диагностики;05.08.2011
"Экспресс-анализатор иммунохимический ""Кобас h 232""";КЗН000225;КЗН Отделение лучевой диагностики;26.10.2017
Система компьютерной радиографии REGIUS МОДЕЛЬ 210 (DIRECT DIGTIZER) с принадлежностями;КЗН000022;КЗН Отделение лучевой диагностики;05.08.2011
Установка маммографическая Alpha ST с принадлежностями;КЗН000021;КЗН Отделение лучевой диагностики;30.09.2011
Система дистанционно-управляемая рентгенодиагностическая Precision RXI с принадлежностями ;КЗН000019;КЗН Отделение лучевой диагностики;05.08.2011
Рабочая станция для рентгена на базе USN BUSINESS 505 Intel Dual Core E5200 и гр.карты Nvidia Quadro;КЗН000200;КЗН Отделение лучевой диагностики;05.07.2012
Аппарат рентгеновский дентальный Expert DC;КЗН000102;КЗН Отделение лучевой диагностики;26.07.2011
Машина для проявления медицинских рентгеновских пленок модели MedicalFilm Processor SRX-101A;КЗН000016;КЗН Отделение лучевой диагностики;05.08.2011
Аппарат цифровой панарамный рентгеновский И-Макс Тач/ИМакс Тач с принадлежностями;КЗН000214;КЗН Отделение лучевой диагностики;12.11.2013
Камера лазерная мультиформатная медицинская DRYPRO МОДЕЛЬ 873  с принадлежностями;УПК006772;КЗН Отделение лучевой диагностики;10.06.2013
Стол для осмотра и ухода (USB-04), без доп.принадлежностей;КЗН000208;КЗН Склад старшей сестры;30.07.2012
Мойка ультразвуковая Elmasonic S450Н;КЗН000150;КЗН Склад старшей сестры;01.10.2011
Аппарат для СМВ-терапии СМВ-150-1 ЛУЧ-11;КЗН000064;КЗН Терапевтическое отделение;17.08.2011
"Аппарат ВТ-02-1-""Вибротестер-МБН""";КЗН000180;КЗН Терапевтическое отделение;06.11.2011
Система нейродиагностическая модульная Nicolet;КЗН000203;КЗН Терапевтическое отделение;26.07.2012
Кольпоскоп МК-200 с цифровой видеосистемой;УПК006195;КЗН Терапевтическое отделение;10.06.2013
Электрокардиограф BTL-08 LC с принадлежностями;БП-000365;КЗН Терапевтическое отделение;17.10.2022
"Эвакуатор дыма ""Клин Вак""";КЗН000005;КЗН Терапевтическое отделение;31.08.2011
Принтер лазерный Canon i-Sensys LBP246DW (5952C006) A4 Duplex WiFi белый;БП-001513;КЗН Терапевтическое отделение;31.10.2024
Система мониторирования ЭКГ MARS с принадлежностями;КЗН000040;КЗН Терапевтическое отделение;17.08.2011
Электрокардиограф MAC 1600 с принадлежностями;КЗН000042;КЗН Терапевтическое отделение;17.08.2011
Дефибрилятор CardioServ с принадлежностями;КЗН000045;КЗН Терапевтическое отделение;17.08.2011
Электрокардиограф непрерывной записи по Холтеру BTL-08 ECG HOLTER с принадлежностями (C08HOL.005);БП-000368;КЗН Терапевтическое отделение;17.10.2022
"Амниоскоп-вагиноскоп АВ-ВС-1 ""Линза"" мод. 105А";КЗН000242;КЗН Терапевтическое отделение;04.12.2017
"Прибор для электро-хирургии ""Сургитрон ЕМС"" портативный";УПК006131;КЗН Терапевтическое отделение;10.06.2013
Велоэргометр для проведения нагрузочных тестов e-Bike с принадлежностями;КЗН000044;КЗН Терапевтическое отделение;17.08.2011
Система комбинированная ХЕЛИК-скан-М с набором на 50  иследований и 3 кассетами;БП-001392;КЗН Терапевтическое отделение;07.06.2024
Электрокардиограф непрерывной записи по Холтеру BTL-08 ECG HOLTER с принадлежностями (C08HOL.005);БП-000367;КЗН Терапевтическое отделение;17.10.2022
Электрокардиограф непрерывной записи по Холтеру BTL-08 ECG HOLTER с принадлежностями;БП-000369;КЗН Терапевтическое отделение;17.10.2022
Электрокардиограф непрерывной записи по Холтеру BTL-08 ECG HOLTER с принадлежностями (C08HOL.005);БП-000366;КЗН Терапевтическое отделение;17.10.2022
Автоклав паровой настольный серии М (модели 3850 М);КЗН000002;КЗН Терапевтическое отделение;26.07.2011
Автоклав паровой настольный серии М (модели 3850 М);КЗН000003;КЗН Терапевтическое отделение;26.07.2011
Установка ультразвуковая диагностическая медицинская Logiq S8 с принадлежностями;УПК008121;КЗН Терапевтическое отделение;20.04.2020
Аппарат процедурный Pedo SP100;КЗН000231;КЗН Терапевтическое отделение;02.11.2017
"Система функциональной диагностики, нагрузочных тестов ""CARDIO SOFT"" ";КЗН000046;КЗН Терапевтическое отделение;30.08.2011
Система нейродиагностическая модульная Nicolet;КЗН000204;КЗН Терапевтическое отделение;26.07.2012
Аппарат физиотерапевтический ФИЗИОСОН-БЕЙСИК-портативный;КЗН000071;КЗН Терапевтическое отделение;17.08.2011
Кресло гинекологическое КГМ-3П;КЗН000164;КЗН Терапевтическое отделение;01.10.2011
Аппарат физиотерапевтический ХИВАМАТ 200 в стандартной комплектации;КЗН000070;КЗН Терапевтическое отделение;17.08.2011
Аппарат физиотерапевтический ФИЗИОМЕД-Эксперт;КЗН000069;КЗН Терапевтическое отделение;17.08.2011
Аппарат физиотерапевтический ЛИМФАВИЖИН-Эксперт  в стандартной комплектации;КЗН000068;КЗН Терапевтическое отделение;17.08.2011
Эндоскоп гибкий для исследования желудочно-кишечного тракта, вариант исполнения:  EC-720R/L;БП-000959;КЗН Хирургическое отделение;16.01.2023
"Стол общехирургический ""ОК - Гамма - 03""";КЗН000009;КЗН Хирургическое отделение;26.07.2011
Аппарат ультразвуковой низкочастотный ТОНЗИЛОР-ММ;БП-001454;КЗН Хирургическое отделение;07.10.2024
Светильник медицинский HiLight LED H-800 с принадлежностями, пр-ва KaWe;БП-001496;КЗН Хирургическое отделение;24.10.2024
Монитор фетальный Sonicaid TEAM с модулем печати и анализа Care с принадлежностями (Казань);КЗН000182;КЗН Хирургическое отделение;01.11.2011
"Аппарат электрохирургический высокочастотный ЭХВЧ-200-01 ""ЭФА"", мод.0202-3, 300Вт";КЗН000004;КЗН Хирургическое отделение;26.07.2011
Прибор эндодонтический комбинированный БиФилл 2 в1;КЗН000233;КЗН Хирургическое отделение;07.11.2017
Коагулятор инфракрасный LUMATEC с принадлежностями;КЗН000215;КЗН Хирургическое отделение;16.12.2013
Аудиометр импедансный AT 235;БП-001497;КЗН Хирургическое отделение;24.10.2024
Установка для мойки гибких эндоскопов серии Bandeq, модели  CYW-501 с принадлежностями;УПК006502;КЗН Хирургическое отделение;25.06.2013
Эвакуатор дыма Clian Vac (Клин Вак);УПК006406;КЗН Хирургическое отделение;04.09.2015
"Аппарат ИК- и К-лазерный 10Вт ""Лазермед-10-01""";КЗН000230;КЗН Хирургическое отделение;02.11.2017
Эвакуатор дыма хирургический Ellman0 (баз.компл.);КЗН000207;КЗН Хирургическое отделение;26.07.2012
"Прибор для электро-хирургии ""Сургитрон ЕМС"" портативный";КЗН000205;КЗН Хирургическое отделение;26.07.2012
Аппарат для проведения сфинктометрии S 4402;КЗН000232;КЗН Хирургическое отделение;07.11.2017
Оборудование эндоскопическое для отоларингологических исследований (Эндоскоп) 30 гр. 2,7 мм;КЗН000142;КЗН Хирургическое отделение;26.07.2011
Кресло гинекологическое КГМ-3П;КЗН000051;КЗН Хирургическое отделение;17.08.2011
"Аппарат электрохирургический высокочастотный ЭХВЧ-200-01 ""ЭФА"", мод.0202-1, 100Вт";КЗН000049;КЗН Хирургическое отделение;17.08.2011
Аудиометр МА 53;КЗН000197;КЗН Хирургическое отделение;17.04.2012
Установка стомат. LINEA ESSE (оранжевый) OMS Италия;КЗН000137;КЗН Хирургическое отделение;29.08.2011
Колоноскоп FUJNON модели EС-250WL5 + тестер герметичности;НСК000044;КЗН Хирургическое отделение;04.11.2011
Установка стомат. LINEA ESSE (оранжевый) OMS Италия;КЗН000136;КЗН Хирургическое отделение;29.08.2011
Установка стомат. LINEA ESSE (оранжевый) OMS Италия;КЗН000135;КЗН Хирургическое отделение;29.08.2011
Установка отоларингологическая С31 Economy с принадлежностями;КЗН000134;КЗН Хирургическое отделение;26.07.2011
Тимпаномерт модели GSI 38 (v.3);КЗН000133;КЗН Хирургическое отделение;26.07.2011
Периметр для определения поля зрения Oculus Centerfild II;КЗН000127;КЗН Хирургическое отделение;26.07.2011
Кольпоскоп МК-200 с цифровой видеосистемой;УПК006196;КЗН Хирургическое отделение;01.04.2015
"Аппарат  ЭХВЧ-80-03 ""ФОТЕК""";КЗН000229;КЗН Хирургическое отделение;02.11.2017
Кольпоскоп МК-200 с цифровой видеосистемой;УПК006197;КЗН Хирургическое отделение;01.04.2015
Стоматологический всасывающий насос серии MONO-JET B;БП-000237;КЗН Хирургическое отделение;22.06.2022
"Стол общехирургический ""ОК - Гамма - 03""";КЗН000099;КЗН Хирургическое отделение;23.08.2011
Установка ультрозвуковая диагностическая медицинская Logiq Book XP с принадлежностями;КЗН000095;КЗН Хирургическое отделение;08.08.2011
Установка для мойки гибких эндоскопов серии Bandeq, модели  CYW-501 с принадлежностями;БП-000387;КЗН Хирургическое отделение;02.11.2022
Кресло гинекологическое КГМ-3П;КЗН000093;КЗН Хирургическое отделение;09.08.2011
Цистофиброскоп портативный FCY-15RBS Pentax в комплекте;КЗН000235;КЗН Хирургическое отделение;23.11.2017
Щелевая лампа офтальмологическая модели SL-1E с принадлежностями;КЗН000092;КЗН Хирургическое отделение;08.08.2011
Набор пробных очковых линз TLS-AF с принадлежностями;КЗН000089;КЗН Хирургическое отделение;08.08.2011
Комбайн офтальмологический IS-600;КЗН000088;КЗН Хирургическое отделение;08.08.2011
Камера  немидриатическая ретинальная модель TRC-NW300 с принадлежностями;КЗН000087;КЗН Хирургическое отделение;08.08.2011
Авторефкератотонометр RKT-7700;КЗН000086;КЗН Хирургическое отделение;08.08.2011
Анализатор компьютерный АНГИОДИН-ЭХО;КЗН000228;КЗН Хирургическое отделение;31.10.2017
Установка для мойки гибких эндоскопов серии Bandeq, модели  CYW-501 с принадлежностями;КЗН000221;КЗН Хирургическое отделение;11.10.2016
"Комплекс компьютеризированный диагностический ""МБН-Урофлоуанализатор""";КЗН000227;КЗН Хирургическое отделение;31.10.2017
Офтальмоскоп бинокулярный BIO 12500Welch Allyn , с блоком пит.74362;КЗН000222;КЗН Хирургическое отделение;24.10.2017
Эндовидеомонитор эндоскопический;КЗН000085;КЗН Хирургическое отделение;03.08.2011
Видеопроцессор медели EXP-2200;КЗН000081;КЗН Хирургическое отделение;03.08.2011
Аппарат ТОНЗИЛООР- ММ ультразвуковой низкочастотный оториноларингологический Казань;КЗН000212;КЗН Хирургическое отделение;21.08.2013
Эндовидеомонитор эндоскопический;КЗН000080;КЗН Хирургическое отделение;08.08.2011
"Прибор для электро-хирургии ""Сургитрон ЕМС"" портативный";КЗН000149;КЗН Хирургическое отделение;01.10.2011
Видеопроцессор медели EXP-2200;КЗН000073;КЗН Хирургическое отделение;08.08.2011
"Стол общехирургический ""ОК - Гамма - 03""";КЗН000199;КЗН Хирургическое отделение;05.07.2012
Оборудование эндоскопическое для отоларингологических исследований (Ларингоскоп) 90 гр 10мм 195мм;КЗН000151;КЗН Хирургическое отделение;01.10.2011
Оборудование эндоскопическое для отоларингологических исследований (Эндоскоп) 0 гр. 4мм 50 мм;КЗН000152;КЗН Хирургическое отделение;01.10.2011
Прибор для регистрации отоакустической эмиссии OtoRead портативная сис-ма (TE и DP) Interacoustics;КЗН000236;КЗН Хирургическое отделение;24.11.2017
Видеопроцессор эндосопический EP-6000;УПК008382;КЗН Хирургическое отделение;31.05.2021
Гастроскоп EG-530WR;УПК008384;КЗН Хирургическое отделение;31.05.2021
Монитор для визуализации в хирургии Radiance 26;УПК008385;КЗН Хирургическое отделение;31.05.2021
Помпа подачи воды JW-2 к гибким эндоскопам;УПК008386;КЗН Хирургическое отделение;31.05.2021
Набор  для биопсии MAGNUM Reusable Biopsy;КЗН000240;КЗН Хирургическое отделение;04.12.2017
Автоклав паровой (стерилизатор) Melag MELAguick 12;КЗН000191;КЗН Хирургическое отделение;01.03.2012
Видеопроцессор эндосопический EP-6000;БП-000957;КЗН Хирургическое отделение;16.01.2023
Монитор LCD медицинского назначения, модель FS-L2403D;БП-000958;КЗН Хирургическое отделение;16.01.2023
"Эвакуатор дыма ""Клин Вак""";КЗН000062;КЗН Хирургическое отделение;31.08.2011
Кресло гинекологическое КГМ-3П;КЗН000056;КЗН Хирургическое отделение;17.08.2011
Кресло медицинское ATMOS Chair E с принадлежностями;КЗН000165;КЗН Хирургическое отделение;01.10.2011
Аппарат медицинский лазерный СОО, модель COSMO PULSE 25 (КОСМО ПУЛЬС 25);КЗН000054;КЗН Хирургическое отделение;17.08.2011
Стерилизатор паровой B Classic-22 торговое наименование MOCOM;БП-001172;КРД Администрация;01.08.2023
Сервер IBMx3650M2 XDP-2.26 4x2048/2x136;КРД000006;КРД Группа ИТ;01.03.2011
Сервер IBMx3650M2 XDP-2.26 3x2048/5x300;КРД000005;КРД Группа ИТ;01.03.2011
ИБП APC Smart-UPS SRT SRT5KRMXLI 4500Вт 5000ВА черный);УПК007735;КРД Группа ИТ;04.03.2019
Коммутатор HP Aruba 2530, 48G, PoE+ (J9772A);БП-000166;КРД Группа ИТ;01.04.2022
Сервер IBMx3650M2 XDP-2.26 4x2048/5x136;КРД000007;КРД Группа ИТ;01.03.2011
Сервер (709943-421) Proliant DL380p Gen8 E5-2690v2 (MSCS-virtual-03);УПК007381;КРД Группа ИТ;21.07.2016
Маршрутизатор 20xGE FG-100E;УПК008394;КРД Группа ИТ;07.06.2021
Сервер IBMx3630M3 2хXenon E5506 QC 2x4Gb 4x2TbHS SAS HDD512Mb;КРД000285;КРД Группа ИТ;30.04.2012
Сервер Proliant DL380p Ланит;УПК007059;КРД Группа ИТ;13.10.2014
Сервер Prolliant DL380р Gen8 T5-2609 Rack(2U)/Xeon4C;УПК006830;КРД Группа ИТ;10.06.2013
Маршрутизатор 20xGE FG-100E;УПК008395;КРД Группа ИТ;07.06.2021
Сервер IBMx3650M2 XDP-2.26 8x2048/5x136;НСК000130;КРД Группа ИТ;04.11.2011
ИБП APC Smart-UPS SRT SRT5KRMXLI 4500Вт 5000ВА черный);УПК007734;КРД Группа ИТ;04.03.2019
Информационный терминал ИТ-И-MINI Cosmo с термопринтером;УПК007992;КРД Группа ИТ;04.07.2019
"Вывеска ""Будь Здоров""";БП-001201;КРД Отдел эксплуатации и технического обслуживания зданий и сооружений;30.06.2023
Стабилизатор трехфазный АСН- 60000/3 ЭМ Ресанта;БП-001415;КРД Отдел эксплуатации и технического обслуживания зданий и сооружений;31.07.2024
Лифт, поставка металлокаркасной шахты (Краснодар);УПК005165;КРД Отдел эксплуатации и технического обслуживания зданий и сооружений;11.05.2011
Система ультрозвуковая диагностическая медицинская LOGIO, модель Р5 с принадлежносями;КРД000071;КРД Отделение лучевой диагностики;04.04.2011
Система дистанционно-управляемая рентгенодиагностическая Precision RXI с принадлежностями ;КРД000031;КРД Отделение лучевой диагностики;04.04.2011
Датчик УЗИ 3SP для аппарата LogiqP5 (кат.№Н462222LE);КРД000306;КРД Отделение лучевой диагностики;19.08.2015
Установка маммогрфическая Alpha ST с принадлежностями ;КРД000032;КРД Отделение лучевой диагностики;28.02.2011
Система компьютерной радиографии REGIUS МОДЕЛЬ 210  (DIRECT DIGITIZER ) с принадлежностями;УПК006777;КРД Отделение лучевой диагностики;10.06.2013
Дозиметр рентгеновского излучения клинический ДРК-1;КРД000010;КРД Отделение лучевой диагностики;08.06.2011
Система рентгенографическая Proteus XR/i с принадлежностями ;КРД000253;КРД Отделение лучевой диагностики;08.06.2011
Кассета маммографическая REGIUS для систем компьютерной радиографии, 24х30см. (10х12 дюймов);КРД000318;КРД Отделение лучевой диагностики;15.08.2016
Кассета маммографическая REGIUS для систем компьютерной радиографии, 24х30см. (10х12 дюймов);КРД000317;КРД Отделение лучевой диагностики;15.08.2016
Кассета маммографическая REGIUS для систем компьютерной радиографии, 18х24см. (8х10дюймов);КРД000316;КРД Отделение лучевой диагностики;27.07.2016
Кассета маммографическая REGIUS для систем компьютерной радиографии, 18х24см. (8х10дюймов);КРД000315;КРД Отделение лучевой диагностики;27.07.2016
Кассета и пластина REGIUS в сборе для систем компьютерной радиографии, 14х17дюймов (35х43см);КРД000310;КРД Отделение лучевой диагностики;27.07.2016
Система ультрозвуковая диагностическая медицинская LOGIQ S8, с принадлежностями;НСК000189;КРД Отделение лучевой диагностики;22.10.2013
Аппарат рентгеновский панорамный стоматологический Orthoralix 9200 DDE Plus Нов-к;НСК000074;КРД Отделение лучевой диагностики;04.11.2011
Плата центрального процессора генератора/GENERATOR CPU BOARD(кат.номер 5457811);БП-001368;КРД Отделение лучевой диагностики;16.04.2024
Установка ультразвуковая диагностическая медицинская Logiq, модель P5 с принадлежностями;СРТ000630;КРД Отделение лучевой диагностики;02.04.2009
Датчик УЗИ, PROBE 11L;БП-001061;КРД Отделение лучевой диагностики;01.06.2023
Визиограф стоматологический Gendex GXS-700 c принадлежностями (разм 1);УПК008089;КРД Отделение лучевой диагностики;31.10.2019
Датчик 3SP для аппарата LogiqP5 (кат.№Н462222LE);КРД000305;КРД Отделение лучевой диагностики;30.01.2015
Блок питания (кат.номер 5166108-2);КРД000304;КРД Отделение лучевой диагностики;30.01.2015
Датчик с конвексной матрицей С6-2;БП-001421;КРД Отделение лучевой диагностики;30.08.2024
Аппарат рентгеновский дентальный Expert DC;КРД000118;КРД Отделение лучевой диагностики;08.06.2011
Камера лазерная мультиформатная медицинская DRYPRO МОДЕЛЬ 873  с принадлежностями;КРД000101;КРД Отделение лучевой диагностики;08.06.2011
Датчик УЗИ PROBE TYPE 10L;БП-001062;КРД Отделение лучевой диагностики;01.06.2023
Система компьютерной радиографии REGIUS МОДЕЛЬ 210  (DIRECT DIGITIZER ) с принадлежностями;КРД000100;КРД Отделение лучевой диагностики;08.06.2011
Рабочая станция для рентгена на базе USN BUSINESS 505 Intel Dual Core E5200 и гр.карты Nvidia Quadro;НСК000150;КРД Отделение лучевой диагностики;14.12.2011
Установка ультрозвуковая диагностическая медицинская Logiq, модель Р5 с принадлежносями;КЗН000140;КРД Отделение лучевой диагностики;26.07.2011
Установка ультрозвуковая диагностическая медицинская Logiq Book XP с принадлежностями 1;КРД000074;КРД Отделение лучевой диагностики;04.04.2011
Система ультрозвуковая диагностическая медицинская LOGIO, модель Р5 с принадлежносями 1;КРД000072;КРД Отделение лучевой диагностики;04.04.2011
Диоптриметр автоматический HLM-1;БП-000273;КРД Педиатрическое отделение;05.08.2022
Инкубатор для новорожденных с принадлежностями: Облучающая лампа YDW-II;БП-000274;КРД Педиатрическое отделение;05.08.2022
Аппарат лазерный хирургический фотодинамического и гипертермического режимов воздействия;БП-000267;КРД Педиатрическое отделение;04.08.2022
"Криодеструктор  (""КриоИней"" КИ-401)";БП-000281;КРД Педиатрическое отделение;05.08.2022
Лампа щелевая офтальмологическая HS с принадлежностями вариант исполнения: HS-7500;БП-000282;КРД Педиатрическое отделение;08.08.2022
Видеокольпоскоп оптический цифровой серии KN-2200 с принадлежностями модель KN-2200С;БП-000272;КРД Педиатрическое отделение;04.08.2022
"Урофлоуметр ""УФМ-01 Яровит"" по ТУ 9441-002-07531870-2014 (без ПК и принтера)";БП-000294;КРД Педиатрическое отделение;09.08.2022
Цистоуретроскоп операционный с волоконным световодом ЦуО-ВС-11, модель 011S;БП-000296;КРД Педиатрическое отделение;09.08.2022
Тонометр автоматический офтальмологический бесконтактный HNT, вариант исполнения HNT-1;БП-000293;КРД Педиатрическое отделение;09.08.2022
"Кресло гинекологическое урологическое ""Клер"" КГЭМ-01";БП-000279;КРД Педиатрическое отделение;05.08.2022
"Аппарат для СМВ-терапии импульсный ""СМВи-200 - Мед ТеКо""";БП-000252;КРД Педиатрическое отделение;04.08.2022
"Эвакуатор дыма ""Клин Вак"" (Clean Vac)";БП-000297;КРД Педиатрическое отделение;09.08.2022
Электрокардиограф BTL-08 LC с принадлежностями;БП-000298;КРД Педиатрическое отделение;09.08.2022
Рабочее место офтальмолога HRT-7000;БП-000286;КРД Педиатрическое отделение;08.08.2022
Аппарат процедурный в следующем исполнении: - Pedo Sprint 50SP;БП-000268;КРД Педиатрическое отделение;04.08.2022
Кресло донорское электромеханическое медицинское КСЭМ-05-01;БП-000280;КРД Педиатрическое отделение;05.08.2022
Лупа налобная EyeMag Smart с принадлежностями 2,5х350;БП-000375;КРД Педиатрическое отделение;20.10.2022
Спирометр SpiroUSB в комплекте с принадлежностями;БП-000292;КРД Педиатрическое отделение;09.08.2022
"Аппарат УВЧ-80 ""НОВОАН-ЭМА""";БП-000269;КРД Педиатрическое отделение;04.08.2022
Лор комбайн Зерц Мультифанкшн EXPERT;БП-000283;КРД Педиатрическое отделение;08.08.2022
Аппарат ЭХВЧ-0202 Эфа мод. 0202-3 300Вт;БП-000270;КРД Педиатрическое отделение;04.08.2022
Проектор знаков офтальмологический НСР-7000 с принадлежностями;БП-000285;КРД Педиатрическое отделение;08.08.2022
Пристенный модуль с мойкой ПМ-8;БП-000302;КРД Педиатрическое отделение;09.08.2022
Кресло донорское электромеханическое медицинское КСЭМ-05-01;БП-000185;КРД Педиатрическое отделение;15.04.2022
Система регистрации отоакустической эмиссии OtoRead ;БП-000289;КРД Педиатрическое отделение;09.08.2022
Аудиометр скрининговый МА 25 (MAICO, Германия);БП-000972;КРД Педиатрическое отделение;01.02.2023
Датчик для систем ультразвуковых диагностических Philips, с принадлежностями (C9-2);БП-001366;КРД Педиатрическое отделение;24.04.2024
"Кресло ЛОР смотровое ""ЗЕРЦ МУЛЬТИФАНКШН"" в комплекте";БП-000973;КРД Педиатрическое отделение;01.02.2023
"Аппарат для высокочастотной магнитотерапии ""ВЧ-Магнит-Мед ТеКо""";БП-000208;КРД Педиатрическое отделение;05.08.2022
Система ультразвуковая Affiniti с принадлежностями, в варианте исполнения Affiniti 70;БП-000291;КРД Педиатрическое отделение;09.08.2022
Авторефкератометр с принадлежностями вариант исполнения: HRK-8000А;БП-000250;КРД Педиатрическое отделение;04.08.2022
Аппарат для спирометрии и пульсоксиметрии MIR, мод. Spirolab I с модулем SpO2 и принадлежностями;БП-000260;КРД Педиатрическое отделение;04.08.2022
Аппарат искусственной управляемой вентиляции легких и оксигенотерапии в условиях специализированного;БП-000266;КРД Педиатрическое отделение;04.08.2022
Биоптрон PAG-960;БП-000271;КРД Педиатрическое отделение;04.08.2022
Установка стоматологическая СТАНДАРТНАЯ LINEA ESSE;БП-000295;КРД Стоматологическое отделение;09.08.2022
Установка стомат. LINEA ESSE (оранжевый) OMS Италия;КРД000114;КРД Стоматологическое отделение;28.02.2011
Установка стомат. LINEA ESSE (оранжевый) OMS Италия;КРД000115;КРД Стоматологическое отделение;28.02.2011
Мойка у/з Elmasonic S450H;НСК000175;КРД Стоматологическое отделение;04.11.2011
Аппарат QUATTROcare 2124 по уходу за стомат. инструментами;БП-000251;КРД Стоматологическое отделение;04.08.2022
Светильник бестеневой светодиодный Brite Mid  BR40;БП-000207;КРД Стоматологическое отделение;08.08.2022
Автоклав  Statim 2000S кассетный;КРД000276;КРД Стоматологическое отделение;20.07.2011
"Автоклав кассетный STATIM, с принадлежностями; вариантисполнения 2000S(01-152302)";БП-000249;КРД Стоматологическое отделение;04.08.2022
Установка стомат. LINEA ESSE (оранжевый) OMS Италия;УПК006539;КРД Стоматологическое отделение;04.09.2015
Дефибрилятор CardioServ с принадлежностями;КРД000076;КРД Терапевтическое отделение;04.04.2011
ЭХВЧ ФОТЕК 81;БП-000301;КРД Терапевтическое отделение;09.08.2022
"Ультразвуковой прибор ""Ангиодин-ЛОР""";БП-001059;КРД Терапевтическое отделение;31.05.2023
Электрокардиограф МАС 1600  с принадлежностями;КРД000078;КРД Терапевтическое отделение;04.04.2011
"Комплекс реографический 4-канальный ""Рео-Спектр-2""";КРД000295;КРД Терапевтическое отделение;30.09.2013
